benchmark,run,result
quadratic,baseline,785
quadratic,remove_nops,785
primes-between,baseline,574100
primes-between,remove_nops,574100
birthday,baseline,484
birthday,remove_nops,484
orders,baseline,5352
orders,remove_nops,5352
sum-check,baseline,5018
sum-check,remove_nops,5018
palindrome,baseline,298
palindrome,remove_nops,298
totient,baseline,253
totient,remove_nops,253
relative-primes,baseline,1923
relative-primes,remove_nops,1923
hanoi,baseline,99
hanoi,remove_nops,99
is-decreasing,baseline,127
is-decreasing,remove_nops,127
check-primes,baseline,8468
check-primes,remove_nops,8468
sum-sq-diff,baseline,3038
sum-sq-diff,remove_nops,3038
fitsinside,baseline,10
fitsinside,remove_nops,10
fact,baseline,229
fact,remove_nops,229
loopfact,baseline,116
loopfact,remove_nops,116
recfact,baseline,104
recfact,remove_nops,104
factors,baseline,72
factors,remove_nops,72
perfect,baseline,232
perfect,remove_nops,232
bitshift,baseline,167
bitshift,remove_nops,167
digital-root,baseline,247
digital-root,remove_nops,247
up-arrow,baseline,252
up-arrow,remove_nops,252
sum-divisors,baseline,159
sum-divisors,remove_nops,159
ackermann,baseline,1464231
ackermann,remove_nops,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,remove_nops,61518
euclid,baseline,563
euclid,remove_nops,563
binary-fmt,baseline,100
binary-fmt,remove_nops,100
lcm,baseline,2326
lcm,remove_nops,2326
gcd,baseline,46
gcd,remove_nops,46
catalan,baseline,659378
catalan,remove_nops,659378
armstrong,baseline,133
armstrong,remove_nops,133
pascals-row,baseline,146
pascals-row,remove_nops,146
collatz,baseline,169
collatz,remove_nops,169
sum-bits,baseline,73
sum-bits,remove_nops,73
rectangles-area-difference,baseline,14
rectangles-area-difference,remove_nops,14
mod_inv,baseline,558
mod_inv,remove_nops,558
reverse,baseline,46
reverse,remove_nops,46
fizz-buzz,baseline,3652
fizz-buzz,remove_nops,3652
bitwise-ops,baseline,1690
bitwise-ops,remove_nops,1690
cholesky,baseline,3761
cholesky,remove_nops,3761
mat-inv,baseline,1044
mat-inv,remove_nops,1044
dead-branch,baseline,1196
dead-branch,remove_nops,1196
function_call,baseline,timeout
function_call,remove_nops,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,remove_nops,142
conjugate-gradient,baseline,1999
conjugate-gradient,remove_nops,1999
leibniz,baseline,timeout
leibniz,remove_nops,timeout
n_root,baseline,733
n_root,remove_nops,733
newton,baseline,217
newton,remove_nops,217
euler,baseline,1908
euler,remove_nops,1908
riemann,baseline,298
riemann,remove_nops,298
mandelbrot,baseline,2720947
mandelbrot,remove_nops,2720947
norm,baseline,505
norm,remove_nops,505
cordic,baseline,517
cordic,remove_nops,517
pow,baseline,36
pow,remove_nops,36
sqrt,baseline,322
sqrt,remove_nops,322
quickselect,baseline,279
quickselect,remove_nops,279
sieve,baseline,3482
sieve,remove_nops,3482
bubblesort,baseline,253
bubblesort,remove_nops,253
primitive-root,baseline,11029
primitive-root,remove_nops,11029
adler32,baseline,6851
adler32,remove_nops,6850
adj2csr,baseline,56629
adj2csr,remove_nops,56629
csrmv,baseline,121202
csrmv,remove_nops,121202
dot-product,baseline,88
dot-product,remove_nops,88
major-elm,baseline,47
major-elm,remove_nops,47
max-subarray,baseline,193
max-subarray,remove_nops,193
mat-mul,baseline,1990407
mat-mul,remove_nops,1990407
fib,baseline,121
fib,remove_nops,121
vsmul,baseline,86036
vsmul,remove_nops,86036
quicksort-hoare,baseline,27333
quicksort-hoare,remove_nops,27333
quicksort,baseline,264
quicksort,remove_nops,264
two-sum,baseline,98
two-sum,remove_nops,98
eight-queens,baseline,1006454
eight-queens,remove_nops,1006454
binary-search,baseline,78
binary-search,remove_nops,78
