benchmark,run,result
skipped,baseline,4
skipped,const_prop,4
ani_ex_OOO,baseline,13
ani_ex_OOO,const_prop,2
double,baseline,6
double,const_prop,2
ani_ex_complex,baseline,13
ani_ex_complex,const_prop,2
sum_mul,baseline,missing
sum_mul,const_prop,missing
simple,baseline,5
simple,const_prop,2
redundant,baseline,6
redundant,const_prop,2
redundant-dce,baseline,6
redundant-dce,const_prop,2
reassign,baseline,3
reassign,const_prop,3
ani_ex1,baseline,6
ani_ex1,const_prop,2
double-pass,baseline,missing
double-pass,const_prop,missing
ani_same_const_test,baseline,9
ani_same_const_test,const_prop,3
diamond,baseline,6
diamond,const_prop,5
combo,baseline,missing
combo,const_prop,missing
ani_ex_multi,baseline,16
ani_ex_multi,const_prop,2
reassign-dkp,baseline,missing
reassign-dkp,const_prop,missing
quadratic,baseline,785
quadratic,const_prop,781
primes-between,baseline,574100
primes-between,const_prop,574100
birthday,baseline,484
birthday,const_prop,481
orders,baseline,5352
orders,const_prop,5352
sum-check,baseline,5018
sum-check,const_prop,5018
palindrome,baseline,298
palindrome,const_prop,295
totient,baseline,253
totient,const_prop,253
relative-primes,baseline,1923
relative-primes,const_prop,1912
hanoi,baseline,99
hanoi,const_prop,99
is-decreasing,baseline,127
is-decreasing,const_prop,124
check-primes,baseline,8468
check-primes,const_prop,8370
sum-sq-diff,baseline,3038
sum-sq-diff,const_prop,3032
fitsinside,baseline,10
fitsinside,const_prop,10
fact,baseline,229
fact,const_prop,228
loopfact,baseline,116
loopfact,const_prop,114
recfact,baseline,104
recfact,const_prop,103
factors,baseline,72
factors,const_prop,72
perfect,baseline,232
perfect,const_prop,231
bitshift,baseline,167
bitshift,const_prop,167
digital-root,baseline,247
digital-root,const_prop,247
up-arrow,baseline,252
up-arrow,const_prop,252
sum-divisors,baseline,159
sum-divisors,const_prop,159
ackermann,baseline,1464231
ackermann,const_prop,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,const_prop,61518
euclid,baseline,563
euclid,const_prop,556
binary-fmt,baseline,100
binary-fmt,const_prop,100
lcm,baseline,2326
lcm,const_prop,2326
gcd,baseline,46
gcd,const_prop,46
catalan,baseline,659378
catalan,const_prop,659378
armstrong,baseline,133
armstrong,const_prop,130
pascals-row,baseline,146
pascals-row,const_prop,135
collatz,baseline,169
collatz,const_prop,169
sum-bits,baseline,73
sum-bits,const_prop,73
rectangles-area-difference,baseline,14
rectangles-area-difference,const_prop,14
mod_inv,baseline,558
mod_inv,const_prop,552
reverse,baseline,46
reverse,const_prop,45
fizz-buzz,baseline,3652
fizz-buzz,const_prop,3457
bitwise-ops,baseline,1690
bitwise-ops,const_prop,1688
cholesky,baseline,3761
cholesky,const_prop,3734
mat-inv,baseline,1044
mat-inv,const_prop,1043
dead-branch,baseline,1196
dead-branch,const_prop,1196
function_call,baseline,timeout
function_call,const_prop,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,const_prop,132
conjugate-gradient,baseline,1999
conjugate-gradient,const_prop,1999
leibniz,baseline,timeout
leibniz,const_prop,timeout
n_root,baseline,733
n_root,const_prop,733
newton,baseline,217
newton,const_prop,217
euler,baseline,1908
euler,const_prop,1905
riemann,baseline,298
riemann,const_prop,298
mandelbrot,baseline,2720947
mandelbrot,const_prop,2720540
norm,baseline,505
norm,const_prop,504
cordic,baseline,517
cordic,const_prop,timeout
pow,baseline,36
pow,const_prop,29
sqrt,baseline,322
sqrt,const_prop,314
quickselect,baseline,279
quickselect,const_prop,278
sieve,baseline,3482
sieve,const_prop,3452
bubblesort,baseline,253
bubblesort,const_prop,252
primitive-root,baseline,11029
primitive-root,const_prop,11024
adler32,baseline,6851
adler32,const_prop,6851
adj2csr,baseline,56629
adj2csr,const_prop,56629
csrmv,baseline,121202
csrmv,const_prop,120652
dot-product,baseline,88
dot-product,const_prop,88
major-elm,baseline,47
major-elm,const_prop,46
max-subarray,baseline,193
max-subarray,const_prop,192
mat-mul,baseline,1990407
mat-mul,const_prop,1990407
fib,baseline,121
fib,const_prop,120
vsmul,baseline,86036
vsmul,const_prop,86036
quicksort-hoare,baseline,27333
quicksort-hoare,const_prop,27333
quicksort,baseline,264
quicksort,const_prop,262
two-sum,baseline,98
two-sum,const_prop,87
eight-queens,baseline,1006454
eight-queens,const_prop,959702
binary-search,baseline,78
binary-search,const_prop,71
