benchmark,run,result
skipped,baseline,4
skipped,mem,4
ani_ex_OOO,baseline,13
ani_ex_OOO,mem,13
loop-orig,baseline,26
loop-orig,mem,26
double,baseline,6
double,mem,6
ani_ex_complex,baseline,13
ani_ex_complex,mem,13
sum_mul,baseline,missing
sum_mul,mem,missing
simple,baseline,5
simple,mem,5
redundant,baseline,6
redundant,mem,6
redundant-dce,baseline,6
redundant-dce,mem,6
reassign,baseline,3
reassign,mem,3
ani_ex1,baseline,6
ani_ex1,mem,6
double-pass,baseline,missing
double-pass,mem,missing
ani_same_const_test,baseline,9
ani_same_const_test,mem,9
diamond,baseline,6
diamond,mem,6
combo,baseline,missing
combo,mem,missing
ani_ex_multi,baseline,16
ani_ex_multi,mem,16
reassign-dkp,baseline,missing
reassign-dkp,mem,missing
quadratic,baseline,785
quadratic,mem,785
primes-between,baseline,574100
primes-between,mem,574100
birthday,baseline,484
birthday,mem,484
orders,baseline,5352
orders,mem,5352
sum-check,baseline,5018
sum-check,mem,5018
palindrome,baseline,298
palindrome,mem,298
totient,baseline,253
totient,mem,253
relative-primes,baseline,1923
relative-primes,mem,1923
hanoi,baseline,99
hanoi,mem,99
is-decreasing,baseline,127
is-decreasing,mem,127
check-primes,baseline,8468
check-primes,mem,8468
sum-sq-diff,baseline,3038
sum-sq-diff,mem,3038
fitsinside,baseline,10
fitsinside,mem,10
fact,baseline,229
fact,mem,229
loopfact,baseline,116
loopfact,mem,116
recfact,baseline,104
recfact,mem,104
factors,baseline,72
factors,mem,72
perfect,baseline,232
perfect,mem,232
bitshift,baseline,167
bitshift,mem,167
digital-root,baseline,247
digital-root,mem,247
up-arrow,baseline,252
up-arrow,mem,252
sum-divisors,baseline,159
sum-divisors,mem,159
ackermann,baseline,1464231
ackermann,mem,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,mem,61518
euclid,baseline,563
euclid,mem,563
binary-fmt,baseline,100
binary-fmt,mem,100
lcm,baseline,2326
lcm,mem,2326
gcd,baseline,46
gcd,mem,46
catalan,baseline,659378
catalan,mem,659378
armstrong,baseline,133
armstrong,mem,133
pascals-row,baseline,146
pascals-row,mem,146
collatz,baseline,169
collatz,mem,169
sum-bits,baseline,73
sum-bits,mem,73
rectangles-area-difference,baseline,14
rectangles-area-difference,mem,14
mod_inv,baseline,558
mod_inv,mem,558
reverse,baseline,46
reverse,mem,46
fizz-buzz,baseline,3652
fizz-buzz,mem,3652
bitwise-ops,baseline,1690
bitwise-ops,mem,1690
cholesky,baseline,3761
cholesky,mem,incorrect
mat-inv,baseline,1044
mat-inv,mem,incorrect
dead-branch,baseline,1196
dead-branch,mem,1196
function_call,baseline,timeout
function_call,mem,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,mem,142
conjugate-gradient,baseline,1999
conjugate-gradient,mem,incorrect
leibniz,baseline,timeout
leibniz,mem,timeout
n_root,baseline,733
n_root,mem,733
newton,baseline,217
newton,mem,217
euler,baseline,1908
euler,mem,1908
riemann,baseline,298
riemann,mem,298
mandelbrot,baseline,2720947
mandelbrot,mem,2720947
norm,baseline,505
norm,mem,incorrect
cordic,baseline,517
cordic,mem,timeout
pow,baseline,36
pow,mem,36
sqrt,baseline,322
sqrt,mem,322
quickselect,baseline,279
quickselect,mem,incorrect
sieve,baseline,3482
sieve,mem,incorrect
bubblesort,baseline,253
bubblesort,mem,incorrect
primitive-root,baseline,11029
primitive-root,mem,11029
adler32,baseline,6851
adler32,mem,6851
adj2csr,baseline,56629
adj2csr,mem,incorrect
csrmv,baseline,121202
csrmv,mem,incorrect
dot-product,baseline,88
dot-product,mem,incorrect
major-elm,baseline,47
major-elm,mem,47
max-subarray,baseline,193
max-subarray,mem,193
mat-mul,baseline,1990407
mat-mul,mem,incorrect
fib,baseline,121
fib,mem,121
vsmul,baseline,86036
vsmul,mem,86036
quicksort-hoare,baseline,27333
quicksort-hoare,mem,incorrect
quicksort,baseline,264
quicksort,mem,incorrect
two-sum,baseline,98
two-sum,mem,98
eight-queens,baseline,1006454
eight-queens,mem,incorrect
binary-search,baseline,78
binary-search,mem,incorrect
